objectid,parentid,title,origin,from,section,Foliation,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
lndl088,compound003,May,French,Book of Hours,Calendar,5r,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/33xmaycal_fr.png,/objects/small/33xmaycal_fr_sm.jpg,/objects/thumbs/33xmaycal_fr_th.jpg,,
lndl089,compound003,May,French,Book of Hours,Calendar,5v,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/34xmaycal2_fr.png,/objects/small/34xmaycal2_fr_sm.jpg,/objects/thumbs/34xmaycal2_fr_th.jpg,,
lndl090,compound003,June,French,Book of Hours,Calendar,6r,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/35xjuncal_fr.png,/objects/small/35xjuncal_fr_sm.jpg,/objects/thumbs/35xjuncal_fr_th.jpg,,
lndl091,compound003,June,French,Book of Hours,Calendar,6v,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/36xjuncal2_fr.png,/objects/small/36xjuncal2_fr_sm.jpg,/objects/thumbs/36xjuncal2_fr_th.jpg,,
lndl092,compound003,July,French,Book of Hours,Calendar,7r,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/37xjulcal_fr.png,/objects/small/37xjulcal_fr_sm.jpg,/objects/thumbs/37xjulcal_fr_th.jpg,,
lndl093,compound003,July,French,Book of Hours,Calendar,7v,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/38xjulcal2_fr.png,/objects/small/38xjulcal2_fr_sm.jpg,/objects/thumbs/38xjulcal2_fr_th.jpg,,
lndl094,compound003,August,French,Book of Hours,Calendar,8r,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/39xaugcal_fr.png,/objects/small/39xaugcal_fr_sm.jpg,/objects/thumbs/39xaugcal_fr_th.jpg,,
lndl095,compound003,August,French,Book of Hours,Calendar,8v,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/40xaugcal2_fr.png,/objects/small/40xaugcal2_fr_sm.jpg,/objects/thumbs/40xaugcal2_fr_th.jpg,,
lndl096,compound003,September,French,Book of Hours,Calendar,9r,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/41xseptcal_fr.png,/objects/small/41xseptcal_fr_sm.jpg,/objects/thumbs/41xseptcal_fr_th.jpg,,
lndl097,compound003,September,French,Book of Hours,Calendar,9v,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/42xseptcal2_fr.png,/objects/small/42xseptcal2_fr_sm.jpg,/objects/thumbs/42xseptcal2_fr_th.jpg,,
lndl098,compound003,October,French,Book of Hours,Calendar,10r,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/43xoctcal_fr.png,/objects/small/43xoctcal_fr_sm.jpg,/objects/thumbs/43xoctcal_fr_th.jpg,,
lndl099,compound003,October,French,Book of Hours,Calendar,10v,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/44xoctcal2_fr.png,/objects/small/44xoctcal2_fr_sm.jpg,/objects/thumbs/44xoctcal2_fr_th.jpg,,
lndl100,compound003,November,French,Book of Hours,Calendar,11r,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/45xnovcal_fr.png,/objects/small/45xnovcal_fr_sm.jpg,/objects/thumbs/45xnovcal_fr_th.jpg,,
lndl101,compound003,November,French,Book of Hours,Calendar,11v,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/46xnovcal2_fr.png,/objects/small/46xnovcal2_fr_sm.jpg,/objects/thumbs/46xnovcal2_fr_th.jpg,,
lndl102,compound003,December,French,Book of Hours,Calendar,12r,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/47xdeccal_fr.png,/objects/small/47xdeccal_fr_sm.jpg,/objects/thumbs/47xdeccal_fr_th.jpg,,
lndl103,compound003,December,French,Book of Hours,Calendar,12v,15th century,1 month per folio,Calendar; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/48xdeccal2_fr.png,/objects/small/48xdeccal2_fr_sm.jpg,/objects/thumbs/48xdeccal2_fr_th.jpg,,
